symbol,legacy_file,v3_callee,loc,handler_family,status,notes
bridge_logger,integration/legacy_d2cs/src/bridge_logger.cpp,infra_log,unknown,observation,MIGRATE,"Logger bridge - move to app/d2cs/src/"
d2ladder_bridge,integration/legacy_d2cs/src/d2ladder_bridge.cpp,domain_ladder,unknown,ladder,MIGRATE,"Ladder bridge - move to app/d2cs/src/"
s2s_bridge,integration/legacy_d2cs/src/s2s_bridge.cpp,domain_d2cs,unknown,server,MIGRATE,"Server-to-server bridge - move to app/d2cs/src/"
handle_signal_bridge,integration/legacy_d2cs/src/handle_signal_bridge.cpp,infra_signal,unknown,signal,MIGRATE,"Signal handler bridge - move to app/d2cs/src/"
server_bridge,integration/legacy_d2cs/src/server_bridge.cpp,domain_d2cs,unknown,server,MIGRATE,"Server bridge - move to app/d2cs/src/"
handle_init_bridge,integration/legacy_d2cs/src/handle_init_bridge.cpp,protocol_d2cs,unknown,init,MIGRATE,"Init handler bridge - move to app/d2cs/src/"
conn_bridge,integration/legacy_d2cs/src/conn_bridge.cpp,domain_connection,unknown,connection,MIGRATE,"Connection bridge - move to app/d2cs/src/"
handle_d2cs_packet_bridge,integration/legacy_d2cs/src/handle_d2cs_packet_bridge.cpp,protocol_d2cs,unknown,packet_handler,MIGRATE,"D2CS packet handler bridge - move to app/d2cs/src/"
handle_d2gs_packet_bridge,integration/legacy_d2cs/src/handle_d2gs_packet_bridge.cpp,protocol_d2cs,unknown,packet_handler,MIGRATE,"D2GS packet handler bridge - move to app/d2cs/src/"
handle_bnetd_packet_bridge,integration/legacy_d2cs/src/handle_bnetd_packet_bridge.cpp,protocol_d2cs,unknown,packet_handler,MIGRATE,"BnetD packet handler bridge - move to app/d2cs/src/"
gamequeue_bridge,integration/legacy_d2cs/src/gamequeue_bridge.cpp,domain_d2cs,unknown,queue,MIGRATE,"Game queue bridge - move to app/d2cs/src/"
serverqueue_bridge,integration/legacy_d2cs/src/serverqueue_bridge.cpp,domain_d2cs,unknown,queue,MIGRATE,"Server queue bridge - move to app/d2cs/src/"
d2gs_bridge,integration/legacy_d2cs/src/d2gs_bridge.cpp,domain_d2cs,unknown,d2gs,MIGRATE,"D2GS bridge - move to app/d2cs/src/"
game_bridge,integration/legacy_d2cs/src/game_bridge.cpp,domain_gameplay,unknown,game,MIGRATE,"Game bridge - move to app/d2cs/src/"
net_bridge,integration/legacy_d2cs/src/net_bridge.cpp,infra_net,unknown,network,MIGRATE,"Network bridge - move to app/d2cs/src/"
send_packet_bridge_link,integration/legacy_d2cs/src/send_packet_bridge_link.cpp,protocol_d2cs,unknown,dispatcher,MIGRATE,"Packet bridge link - move to app/d2cs/src/"
send_packet_bridge_d2dbs,integration/legacy_d2dbs/src/send_packet_bridge.cpp,protocol_d2dbs,unknown,dispatcher,MIGRATE,"D2DBS packet bridge - move to app/d2dbs/src/"
send_echorequest_bridge,integration/legacy_d2dbs/src/send_echorequest_bridge.cpp,protocol_d2dbs,unknown,reply_handler,MIGRATE,"Echo request bridge - move to app/d2dbs/src/"
d2dbs_prefs_bridge,integration/legacy_d2dbs/src/d2dbs_prefs_bridge.cpp,domain_d2dbs,unknown,config,MIGRATE,"D2DBS preferences bridge - move to app/d2dbs/src/"
bridge_logger_d2dbs,integration/legacy_d2dbs/src/bridge_logger.cpp,infra_log,unknown,observation,MIGRATE,"Logger bridge - move to app/d2dbs/src/"
charlock_bridge,integration/legacy_d2dbs/src/charlock_bridge.cpp,domain_d2dbs,unknown,charlock,MIGRATE,"Character lock bridge - move to app/d2dbs/src/"
d2ladder_bridge_d2dbs,integration/legacy_d2dbs/src/d2ladder_bridge.cpp,domain_ladder,unknown,ladder,MIGRATE,"Ladder bridge - move to app/d2dbs/src/"
dbsdupecheck_bridge,integration/legacy_d2dbs/src/dbsdupecheck_bridge.cpp,domain_d2dbs,unknown,dupecheck,MIGRATE,"Dupecheck bridge - move to app/d2dbs/src/"
dbserver_bridge,integration/legacy_d2dbs/src/dbserver_bridge.cpp,domain_d2dbs,unknown,server,MIGRATE,"DBServer bridge - move to app/d2dbs/src/"
handle_signal_bridge_d2dbs,integration/legacy_d2dbs/src/handle_signal_bridge.cpp,infra_signal,unknown,signal,MIGRATE,"Signal handler bridge - move to app/d2dbs/src/"
dbspacket_bridge,integration/legacy_d2dbs/src/dbspacket_bridge.cpp,protocol_d2dbs,unknown,packet_handler,MIGRATE,"DBS packet handler bridge - move to app/d2dbs/src/"
send_packet_bridge_link_d2dbs,integration/legacy_d2dbs/src/send_packet_bridge_link.cpp,protocol_d2dbs,unknown,dispatcher,MIGRATE,"Packet bridge link - move to app/d2dbs/src/"
