symbol,legacy_file,v3_callee,loc,test_coverage,handler_family,status,notes
pvpgn_v3_startgame,startgame_bridge.cpp,application/game,40,NO,handle_bnet,DELETED,Thin wrapper - deleted in Phase 1
pvpgn_v3_send_realmlistlegacy,send_realmlistlegacy_bridge.cpp,application/realm,50,NO,handle_bnet,DELETED,Observation-only or already migrated to v3
pvpgn_v3_observe_file_send,send_file_bridge.cpp,application/init,15,NO,handle_bnet,DELETED,Thin wrapper - deleted in Phase 1
pvpgn_v3_observe_file_raw_send,send_file_bridge.cpp,application/init,15,NO,handle_bnet,DELETED,Thin wrapper - deleted in Phase 1
pvpgn_v3_send_readmemory,send_readmemory_bridge.cpp,application/init,20,NO,handle_bnet,DELETED,Observation-only or already migrated to v3
pvpgn_v3_clan_send,clan_send_bridge.cpp,application/social,20,NO,handle_bnet,DELETED,Thin wrapper - deleted in Phase 1
pvpgn_v3_observe_w3route_echoreq,send_w3route_bridge.cpp,application/init,15,NO,handle_bnet,DELETED,Observation-only or already migrated to v3
pvpgn_v3_observe_w3route_ack,send_w3route_bridge.cpp,application/init,15,NO,handle_bnet,DELETED,Observation-only or already migrated to v3
pvpgn_v3_observe_w3route_loadingack,send_w3route_bridge.cpp,application/init,15,NO,handle_bnet,DELETED,Observation-only or already migrated to v3
pvpgn_v3_observe_w3route_ready,send_w3route_bridge.cpp,application/init,15,NO,handle_bnet,DELETED,Observation-only or already migrated to v3
pvpgn_v3_observe_w3route_playerinfo,send_w3route_bridge.cpp,application/init,15,NO,handle_bnet,DELETED,Observation-only or already migrated to v3
pvpgn_v3_observe_w3route_levelinfo,send_w3route_bridge.cpp,application/init,15,NO,handle_bnet,DELETED,Observation-only or already migrated to v3
pvpgn_v3_observe_w3route_startgame1,send_w3route_bridge.cpp,application/init,15,NO,handle_bnet,DELETED,Observation-only or already migrated to v3
pvpgn_v3_observe_w3route_startgame2,send_w3route_bridge.cpp,application/init,15,NO,handle_bnet,DELETED,Observation-only or already migrated to v3
pvpgn_v3_send_claninfo,send_claninfo_bridge.cpp,application/social,30,NO,handle_bnet,DELETED,Observation-only or already migrated to v3
pvpgn_v3_realm_list_apply,realm_list_bridge.cpp,application/realm,30,NO,handle_bnet,DELETED,Thin wrapper - deleted in Phase 1
pvpgn_v3_observe_anongame_found,send_anongame_found_bridge.cpp,application/anongame_inforeply,15,NO,handle_bnet,DELETED,Thin wrapper - deleted in Phase 1
pvpgn_v3_send_logonproof_reply,send_logonproof_reply_bridge.cpp,application/auth,30,PARTIAL,handle_bnet,DELETED,Observation-only or already migrated to v3
pvpgn_v3_connection_dispatch,connection_dispatch_bridge.cpp,application/connection,15,NO,handle_bnet,DELETED,Thin wrapper - deleted in Phase 1
pvpgn_v3_send_clancreateinvitereply,send_clancreateinvitereply_bridge.cpp,application/social,25,NO,handle_bnet,DELETED,Observation-only or already migrated to v3
pvpgn_v3_send_startgame4ack,send_startgame4ack_bridge.cpp,application/game,20,NO,handle_bnet,DELETED,Observation-only or already migrated to v3
pvpgn_v3_profile,profile_bridge.cpp,application/profile,75,NO,handle_bnet,DELETED,Observation-only or already migrated to v3
pvpgn_v3_send_playerinforeply,send_playerinforeply_bridge.cpp,application/game,30,NO,handle_bnet,DELETED,Observation-only or already migrated to v3
pvpgn_v3_anongame_infos_load,anongame_infos_bridge.cpp,application/anongame_inforeply,20,NO,lifecycle,DELETED,Thin wrapper - deleted in Phase 1
pvpgn_v3_anongame_infos_unload,anongame_infos_bridge.cpp,application/anongame_inforeply,15,NO,lifecycle,DELETED,Thin wrapper - deleted in Phase 1
pvpgn_v3_send_passchange,send_passchange_bridge.cpp,application/auth,40,NO,handle_bnet,DELETED,Observation-only or already migrated to v3
pvpgn_v3_send_passchangeproof,send_passchange_bridge.cpp,application/auth,40,NO,handle_bnet,DELETED,Observation-only or already migrated to v3
pvpgn_v3_realm_dispatch,realm_dispatch_bridge.cpp,application/realm,20,NO,handle_bnet,DELETED,Thin wrapper - deleted in Phase 1
pvpgn_v3_change_password,change_password_bridge.cpp,application/auth,30,NO,handle_bnet,DELETED,Thin wrapper - deleted in Phase 1
pvpgn_v3_send_mapauthreply1,send_mapauthreply1_bridge.cpp,application/game,20,NO,handle_bnet,DELETED,Observation-only or already migrated to v3
pvpgn_v3_send_laddersearchreply,send_laddersearchreply_bridge.cpp,application/ladder,20,NO,handle_bnet,DELETED,Observation-only or already migrated to v3
pvpgn_v3_chat_command,chat_command_bridge.cpp,application/chat,100,NO,handle_bnet,DELETED,Observation-only or already migrated to v3
pvpgn_v3_send_realmjoin,send_realmjoin_bridge.cpp,application/realm,30,NO,handle_bnet,DELETED,Observation-only or already migrated to v3
pvpgn_v3_send_statsreply,send_statsreply_bridge.cpp,application/ladder,40,PARTIAL,handle_bnet,DELETED,Observation-only or already migrated to v3
pvpgn_v3_d2cs_link_dispatch,handle_d2cs_link.cpp,application/init,15,NO,other,DELETED,Observation-only or already migrated to v3
pvpgn_v3_observe_d2cs_bnetd_authreq,send_d2cs_bnetd_bridges.cpp,application/init,15,NO,other,DELETED,Observation-only or already migrated to v3
pvpgn_v3_observe_d2cs_bnetd_authreply,send_d2cs_bnetd_bridges.cpp,application/init,15,NO,other,DELETED,Observation-only or already migrated to v3
pvpgn_v3_observe_d2cs_bnetd_accountloginreply,send_d2cs_bnetd_bridges.cpp,application/init,15,NO,other,DELETED,Observation-only or already migrated to v3
pvpgn_v3_observe_d2cs_bnetd_charloginreply,send_d2cs_bnetd_bridges.cpp,application/init,15,NO,other,DELETED,Observation-only or already migrated to v3
pvpgn_v3_observe_d2cs_bnetd_gameinforeq,send_d2cs_bnetd_bridges.cpp,application/init,15,NO,other,DELETED,Observation-only or already migrated to v3
pvpgn_v3_news_load,news_bridge.cpp,application/init,20,NO,lifecycle,DELETED,Thin wrapper - deleted in Phase 1
pvpgn_v3_news_unload,news_bridge.cpp,application/init,15,NO,lifecycle,DELETED,Thin wrapper - deleted in Phase 1
pvpgn_v3_wol_dispatch,wol_dispatch_bridge.cpp,application/init,15,NO,handle_wol,DELETED,Thin wrapper - deleted in Phase 1
pvpgn_v3_observe_udptest,send_udptest_bridge.cpp,application/init,15,NO,handle_bnet,DELETED,Thin wrapper - deleted in Phase 1
pvpgn_v3_send_profilereply,send_profilereply_bridge.cpp,application/profile,30,NO,handle_bnet,DELETED,Observation-only or already migrated to v3
pvpgn_v3_send_friendslist,send_friendslist_bridge.cpp,application/social,40,NO,handle_bnet,DELETED,Observation-only or already migrated to v3
pvpgn_v3_gameport_dispatch,gameport_dispatch_bridge.cpp,application/game,20,NO,handle_bnet,DELETED,Thin wrapper - deleted in Phase 1
pvpgn_v3_login_user,login_user_bridge.cpp,application/auth,40,PARTIAL,handle_bnet,DELETED,Thin wrapper - deleted in Phase 1
pvpgn_v3_bnetd_ipban_create,ipban_bridge.cpp,application/init,15,NO,lifecycle,DELETED,Observation-only or already migrated to v3
pvpgn_v3_bnetd_ipban_destroy,ipban_bridge.cpp,application/init,15,NO,lifecycle,DELETED,Observation-only or already migrated to v3
pvpgn_v3_bnetd_ipban_load,ipban_bridge.cpp,application/init,20,NO,lifecycle,DELETED,Observation-only or already migrated to v3
pvpgn_v3_bnetd_ipban_save,ipban_bridge.cpp,application/init,20,NO,lifecycle,DELETED,Observation-only or already migrated to v3
pvpgn_v3_bnetd_ipban_check,ipban_bridge.cpp,application/init,20,NO,lifecycle,DELETED,Observation-only or already migrated to v3
pvpgn_v3_bnetd_ipban_add,ipban_bridge.cpp,application/init,25,NO,lifecycle,DELETED,Observation-only or already migrated to v3
pvpgn_v3_bnetd_ipban_unload_expired,ipban_bridge.cpp,application/init,15,NO,lifecycle,DELETED,Observation-only or already migrated to v3
pvpgn_v3_anongame_entry,anongame_entry_bridge.cpp,application/anongame_inforeply,20,NO,handle_bnet,DELETED,Thin wrapper - deleted in Phase 1
pvpgn_v3_send_echoreq,send_echoreq_bridge.cpp,application/connection,20,NO,handle_bnet,DELETED,Observation-only or already migrated to v3
pvpgn_v3_send_iconreply,send_iconreply_bridge.cpp,application/icon_table,25,NO,handle_bnet,DELETED,Observation-only or already migrated to v3
pvpgn_v3_send_createacctreply1,send_createacct_reply_bridge.cpp,application/auth,20,NO,handle_bnet,DELETED,Observation-only or already migrated to v3
pvpgn_v3_send_createacctreply2,send_createacct_reply_bridge.cpp,application/auth,20,NO,handle_bnet,DELETED,Observation-only or already migrated to v3
pvpgn_v3_send_createaccount_w3,send_createacct_reply_bridge.cpp,application/auth,20,NO,handle_bnet,DELETED,Observation-only or already migrated to v3
pvpgn_v3_irc_dispatch,irc_dispatch_bridge.cpp,application/init,15,NO,irc,DELETED,Thin wrapper - deleted in Phase 1
pvpgn_v3_account_dispatch,account_dispatch_bridge.cpp,application/init,20,NO,handle_bnet,DELETED,Thin wrapper - deleted in Phase 1
pvpgn_v3_send_packet,send_packet_bridge.cpp,application/connection,30,NO,handle_bnet,DELETED,Thin wrapper - deleted in Phase 1
pvpgn_v3_send_packet_available,send_packet_bridge.cpp,application/connection,15,NO,handle_bnet,DELETED,Thin wrapper - deleted in Phase 1
pvpgn_v3_d2_character_dispatch,d2_character_dispatch_bridge.cpp,application/init,20,NO,other,DELETED,Thin wrapper - deleted in Phase 1
pvpgn_v3_send_clan_invitereply,send_clan_invitereply_bridge.cpp,application/social,25,NO,handle_bnet,DELETED,Observation-only or already migrated to v3
pvpgn_v3_send_messagebox,send_messagebox_bridge.cpp,application/chat,20,NO,handle_bnet,DELETED,Observation-only or already migrated to v3
pvpgn_v3_keepalive_dispatch,keepalive_dispatch_bridge.cpp,application/connection,20,NO,handle_bnet,DELETED,Thin wrapper - deleted in Phase 1
pvpgn_v3_send_cdkeyreply,send_cdkey_reply_bridge.cpp,application/auth,30,PARTIAL,handle_bnet,DELETED,Observation-only or already migrated to v3
pvpgn_v3_send_cdkeyreply2,send_cdkey_reply_bridge.cpp,application/auth,30,PARTIAL,handle_bnet,DELETED,Observation-only or already migrated to v3
pvpgn_v3_send_cdkeyreply3,send_cdkey_reply_bridge.cpp,application/auth,30,PARTIAL,handle_bnet,DELETED,Observation-only or already migrated to v3
pvpgn_v3_send_loginreply_w3,send_loginreply_w3_bridge.cpp,application/auth,25,PARTIAL,handle_bnet,DELETED,Observation-only or already migrated to v3
pvpgn_v3_bot_dispatch,bot_dispatch_bridge.cpp,application/init,15,NO,handle_bnet,DELETED,Thin wrapper - deleted in Phase 1
pvpgn_v3_cdkey_dispatch,cdkey_dispatch_bridge.cpp,application/auth,20,NO,handle_bnet,DELETED,Thin wrapper - deleted in Phase 1
pvpgn_v3_send_anongame_search_reply,send_anongame_search_reply_bridge.cpp,application/anongame_inforeply,50,NO,handle_bnet,DELETED,Thin wrapper - deleted in Phase 1
pvpgn_v3_send_friendadd_ack,send_friendadd_ack_bridge.cpp,application/social,20,NO,handle_bnet,DELETED,Observation-only or already migrated to v3
pvpgn_v3_send_mapauthreply2,send_mapauthreply2_bridge.cpp,application/game,20,NO,handle_bnet,DELETED,Observation-only or already migrated to v3
pvpgn_v3_send_adclick2reply,send_adclick2reply_bridge.cpp,application/ads,25,NO,handle_bnet,DELETED,Observation-only or already migrated to v3
pvpgn_v3_send_clanmember_rankupdate_reply,send_clanmember_rankupdate_reply_bridge.cpp,application/social,20,NO,handle_bnet,DELETED,Observation-only or already migrated to v3
pvpgn_v3_gamelistreq,gamelist_join_bridge.cpp,application/game,30,NO,handle_bnet,DELETED,Thin wrapper - deleted in Phase 1
pvpgn_v3_joingame,gamelist_join_bridge.cpp,application/game,30,NO,handle_bnet,DELETED,Thin wrapper - deleted in Phase 1
pvpgn_v3_anongame_inforeply,anongame_inforeply_bridge.cpp,application/anongame_inforeply,155,NO,handle_bnet,DELETED,Observation-only or already migrated to v3
pvpgn_v3_bnetd_helpfile_init,bnetd_lifecycle_bridges.cpp,application/init,20,NO,lifecycle,DELETED,Observation-only or already migrated to v3
pvpgn_v3_bnetd_helpfile_unload,bnetd_lifecycle_bridges.cpp,application/init,15,NO,lifecycle,DELETED,Observation-only or already migrated to v3
pvpgn_v3_bnetd_autoupdate_load,bnetd_lifecycle_bridges.cpp,application/init,20,NO,lifecycle,DELETED,Observation-only or already migrated to v3
pvpgn_v3_bnetd_autoupdate_unload,bnetd_lifecycle_bridges.cpp,application/init,15,NO,lifecycle,DELETED,Observation-only or already migrated to v3
pvpgn_v3_bnetd_output_init,bnetd_lifecycle_bridges.cpp,application/init,15,NO,lifecycle,DELETED,Observation-only or already migrated to v3
pvpgn_v3_bnetd_output_write_to_file,bnetd_lifecycle_bridges.cpp,application/init,15,NO,lifecycle,DELETED,Observation-only or already migrated to v3
pvpgn_v3_bnetd_support_check_files,bnetd_lifecycle_bridges.cpp,application/init,20,NO,lifecycle,DELETED,Observation-only or already migrated to v3
pvpgn_v3_bnetd_mail_handle_command,bnetd_lifecycle_bridges.cpp,application/init,20,NO,lifecycle,DELETED,Observation-only or already migrated to v3
pvpgn_v3_bnetd_mail_check,bnetd_lifecycle_bridges.cpp,application/init,20,NO,lifecycle,DELETED,Observation-only or already migrated to v3
pvpgn_v3_bnetd_i18n_load,bnetd_lifecycle_bridges.cpp,application/i18n,15,NO,lifecycle,DELETED,Observation-only or already migrated to v3
pvpgn_v3_bnetd_i18n_reload,bnetd_lifecycle_bridges.cpp,application/i18n,15,NO,lifecycle,DELETED,Observation-only or already migrated to v3
pvpgn_v3_bnetd_icons_load,bnetd_lifecycle_bridges.cpp,application/init,20,NO,lifecycle,DELETED,Observation-only or already migrated to v3
pvpgn_v3_bnetd_icons_unload,bnetd_lifecycle_bridges.cpp,application/init,15,NO,lifecycle,DELETED,Observation-only or already migrated to v3
pvpgn_v3_bnetd_attrlayer_init,bnetd_lifecycle_bridges.cpp,application/init,15,NO,lifecycle,DELETED,Observation-only or already migrated to v3
pvpgn_v3_bnetd_attrlayer_cleanup,bnetd_lifecycle_bridges.cpp,application/init,15,NO,lifecycle,DELETED,Observation-only or already migrated to v3
pvpgn_v3_bnetd_attrlayer_save,bnetd_lifecycle_bridges.cpp,application/init,20,NO,lifecycle,DELETED,Observation-only or already migrated to v3
pvpgn_v3_bnetd_attrlayer_flush,bnetd_lifecycle_bridges.cpp,application/init,20,NO,lifecycle,DELETED,Observation-only or already migrated to v3
pvpgn_v3_bnetd_tracker_set_servers,bnetd_lifecycle_bridges.cpp,application/init,20,NO,lifecycle,DELETED,Observation-only or already migrated to v3
pvpgn_v3_bnetd_tracker_send_report,bnetd_lifecycle_bridges.cpp,application/init,15,NO,lifecycle,DELETED,Observation-only or already migrated to v3
pvpgn_v3_bnetd_team_load,bnetd_lifecycle_bridges.cpp,application/init,15,NO,lifecycle,DELETED,Observation-only or already migrated to v3
pvpgn_v3_bnetd_team_unload,bnetd_lifecycle_bridges.cpp,application/init,15,NO,lifecycle,DELETED,Observation-only or already migrated to v3
pvpgn_v3_bnetd_udptest_send,bnetd_lifecycle_bridges.cpp,application/init,20,NO,lifecycle,DELETED,Observation-only or already migrated to v3
pvpgn_v3_bnetd_aliasfile_load,bnetd_lifecycle_bridges.cpp,application/init,20,NO,lifecycle,DELETED,Observation-only or already migrated to v3
pvpgn_v3_bnetd_aliasfile_unload,bnetd_lifecycle_bridges.cpp,application/init,15,NO,lifecycle,DELETED,Observation-only or already migrated to v3
pvpgn_v3_bnetd_handle_alias_command,bnetd_lifecycle_bridges.cpp,application/init,20,NO,lifecycle,DELETED,Observation-only or already migrated to v3
pvpgn_v3_bnetd_command_groups_load,bnetd_lifecycle_bridges.cpp,application/init,20,NO,lifecycle,DELETED,Observation-only or already migrated to v3
pvpgn_v3_bnetd_command_groups_unload,bnetd_lifecycle_bridges.cpp,application/init,15,NO,lifecycle,DELETED,Observation-only or already migrated to v3
pvpgn_v3_bnetd_command_groups_reload,bnetd_lifecycle_bridges.cpp,application/init,20,NO,lifecycle,DELETED,Observation-only or already migrated to v3
pvpgn_v3_bnetd_anongame_maplists_create,bnetd_lifecycle_bridges.cpp,application/anongame_inforeply,15,NO,lifecycle,DELETED,Observation-only or already migrated to v3
pvpgn_v3_bnetd_anongame_maplists_destroy,bnetd_lifecycle_bridges.cpp,application/anongame_inforeply,15,NO,lifecycle,DELETED,Observation-only or already migrated to v3
pvpgn_v3_bnetd_anongame_tournament_maplists_destroy,bnetd_lifecycle_bridges.cpp,application/anongame_inforeply,15,NO,lifecycle,DELETED,Observation-only or already migrated to v3
pvpgn_v3_bnetd_handle_udp_packet,bnetd_lifecycle_bridges.cpp,application/init,20,NO,lifecycle,DELETED,Observation-only or already migrated to v3
pvpgn_v3_prefs_load_toml,prefs_bridge.cpp,application/init,30,NO,lifecycle,MIGRATED,Config loading already integrated into v3 infra/config/
pvpgn_v3_prefs_unload,prefs_bridge.cpp,application/init,10,NO,lifecycle,MIGRATED,Config loading already integrated into v3 infra/config/
pvpgn_v3_prefs_loaded,prefs_bridge.cpp,application/init,10,NO,lifecycle,MIGRATED,Config loading already integrated into v3 infra/config/
pvpgn_v3_prefs_dump,prefs_bridge.cpp,application/init,25,NO,lifecycle,MIGRATED,Config loading already integrated into v3 infra/config/
